Mes,NomeBeneficio,Valor
January,DOM MACEDO COSTA                                  -BA
January,
January,FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS
January,DATA                PARCELA                                   VALOR DISTRIBUIDO
January,
January,"10.01.2023        PARCELA DE IPI                                     58.676,72C"
January,"                  PARCELA DE IR                                     540.676,19C"
January,"                  RETENCAO PASEP                                      5.993,52D"
January,"                  RFB-PREV-PARC60                                    16.402,03D"
January,"                  DEDUCAO FUNDEB                                    119.870,57D"
January,"                  TOTAL NA DATA                                     457.086,79C"
January,
January,"20.01.2023        PARCELA DE IPI                                     29.062,34C"
January,"                  PARCELA DE IR                                     201.913,49C"
January,"                  RETENCAO PASEP                                      2.309,75D"
January,"                  DEDUCAO FUNDEB                                     46.195,15D"
January,"                  TOTAL NA DATA                                     182.470,93C"
January,
January,"30.01.2023        PARCELA DE IPI                                     15.461,57C"
January,"                  PARCELA DE IR                                     509.923,92C"
January,"                  RETENCAO PASEP                                      5.253,84D"
January,"                  DEDUCAO FUNDEB                                    105.077,09D"
January,"                  TOTAL NA DATA                                     415.054,56C"
January,
January,TOTAL POR PARCELA / NATUREZA
January,
January,"                  PARCELA DE IPI                                    103.200,63C"
January,"                  PARCELA DE IR                                   1.252.513,60C"
January,"                  RETENCAO PASEP                                     13.557,11D"
January,"                  RFB-PREV-PARC60                                    16.402,03D"
January,"                  DEDUCAO FUNDEB                                    271.142,81D"
January,
January,"                  DEBITO FUNDO                                      301.101,95D"
January,"                  CREDITO FUNDO                                   1.355.714,23C"
January,
January,TOTAL DISTRIBUIDO NO PERIODO
January,
January,"                  DEBITO BENEF.                                     301.101,95D"
January,"                  CREDITO BENEF.                                  1.355.714,23C"
February,DOM MACEDO COSTA                                  -BA
February,
February,FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS
February,DATA                PARCELA                                   VALOR DISTRIBUIDO
February,
February,"10.02.2023        PARCELA DE IPI                                     54.674,00C"
February,"                  PARCELA DE IR                                   1.289.310,40C"
February,"                  RETENCAO PASEP                                     13.439,84D"
February,"                  RFB-PREV-PARC60                                    16.402,03D"
February,"                  DEDUCAO FUNDEB                                    268.796,88D"
February,"                  TOTAL NA DATA                                   1.045.345,65C"
February,
February,"17.02.2023        PARCELA DE IPI                                      9.936,15C"
February,"                  PARCELA DE IR                                     119.442,92C"
February,"                  RETENCAO PASEP                                      1.293,78D"
February,"                  DEDUCAO FUNDEB                                     25.875,81D"
February,"                  TOTAL NA DATA                                     102.209,48C"
February,
February,"28.02.2023        PARCELA DE IPI                                      7.301,67C"
February,"                  PARCELA DE IR                                     313.509,76C"
February,"                  RETENCAO PASEP                                      3.208,10D"
February,"                  DEDUCAO FUNDEB                                     64.162,28D"
February,"                  TOTAL NA DATA                                     253.441,05C"
February,
February,TOTAL POR PARCELA / NATUREZA
February,
February,"                  PARCELA DE IPI                                     71.911,82C"
February,"                  PARCELA DE IR                                   1.722.263,08C"
February,"                  RETENCAO PASEP                                     17.941,72D"
February,"                  RFB-PREV-PARC60                                    16.402,03D"
February,"                  DEDUCAO FUNDEB                                    358.834,97D"
February,
February,"                  DEBITO FUNDO                                      393.178,72D"
February,"                  CREDITO FUNDO                                   1.794.174,90C"
February,
