Mes,NomeBeneficio,Valor
January,PRESIDENTE DUTRA                                  -MA
January,
January,FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS
January,DATA                PARCELA                                   VALOR DISTRIBUIDO
January,
January,"10.01.2023        PARCELA DE IPI                                    162.662,80C"
January,"                  PARCELA DE IR                                   1.498.855,06C"
January,"                  RETENCAO PASEP                                     16.615,17D"
January,"                  RFB-PREV-PARC60                                   104.860,62D"
January,"                  DEDUCAO SAUDE                                     249.227,67D"
January,"                  DEDUCAO FUNDEB                                    332.303,57D"
January,"                  TOTAL NA DATA                                     958.510,83C"
January,
January,"20.01.2023        PARCELA DE IPI                                     79.891,55C"
January,"                  PARCELA DE IR                                     555.054,53C"
January,"                  RETENCAO PASEP                                      6.349,45D"
January,"                  DEDUCAO SAUDE                                      95.241,90D"
January,"                  DEDUCAO FUNDEB                                    126.989,21D"
January,"                  TOTAL NA DATA                                     406.365,52C"
January,
January,"30.01.2023        PARCELA DE IPI                                     42.299,38C"
January,"                  PARCELA DE IR                                   1.395.037,20C"
January,"                  RETENCAO PASEP                                     14.373,36D"
January,"                  DEDUCAO SAUDE                                     215.600,48D"
January,"                  DEDUCAO FUNDEB                                    287.467,31D"
January,"                  TOTAL NA DATA                                     919.895,43C"
January,
January,TOTAL POR PARCELA / NATUREZA
January,
January,"                  PARCELA DE IPI                                    284.853,73C"
January,"                  PARCELA DE IR                                   3.448.946,79C"
January,"                  RETENCAO PASEP                                     37.337,98D"
January,"                  RFB-PREV-PARC60                                   104.860,62D"
January,"                  DEDUCAO SAUDE                                     560.070,05D"
January,"                  DEDUCAO FUNDEB                                    746.760,09D"
January,
January,"                  DEBITO FUNDO                                    1.449.028,74D"
January,"                  CREDITO FUNDO                                   3.733.800,52C"
January,
January,TOTAL DISTRIBUIDO NO PERIODO
January,
January,"                  DEBITO BENEF.                                   1.449.028,74D"
January,"                  CREDITO BENEF.                                  3.733.800,52C"
February,PRESIDENTE DUTRA                                  -MA
February,
February,FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS
February,DATA                PARCELA                                   VALOR DISTRIBUIDO
February,
February,"10.02.2023        PARCELA DE IPI                                    149.575,77C"
February,"                  PARCELA DE IR                                   3.527.263,39C"
February,"                  RETENCAO PASEP                                     36.768,38D"
February,"                  RFB-PREV-PARC60                                   104.947,65D"
February,"                  DEDUCAO SAUDE                                     551.525,86D"
February,"                  DEDUCAO FUNDEB                                    735.367,82D"
February,"                  TOTAL NA DATA                                   2.248.229,45C"
February,
February,"17.02.2023        PARCELA DE IPI                                     27.183,07C"
February,"                  PARCELA DE IR                                     326.768,98C"
February,"                  RETENCAO PASEP                                      3.539,51D"
February,"                  DEDUCAO SAUDE                                      53.092,80D"
February,"                  DEDUCAO FUNDEB                                     70.790,40D"
February,"                  TOTAL NA DATA                                     226.529,34C"
February,
February,"28.02.2023        PARCELA DE IPI                                     19.975,74C"
February,"                  PARCELA DE IR                                     857.692,21C"
February,"                  RETENCAO PASEP                                      8.776,67D"
February,"                  DEDUCAO SAUDE                                     131.650,19D"
February,"                  DEDUCAO FUNDEB                                    175.533,58D"
February,"                  TOTAL NA DATA                                     561.707,51C"
February,
February,TOTAL POR PARCELA / NATUREZA
February,
February,"                  PARCELA DE IPI                                    196.734,58C"
February,"                  PARCELA DE IR                                   4.711.724,58C"
February,"                  RETENCAO PASEP                                     49.084,56D"
February,"                  RFB-PREV-PARC60                                   104.947,65D"
February,"                  DEDUCAO SAUDE                                     736.268,85D"
February,"                  DEDUCAO FUNDEB                                    981.691,80D"
February,
February,"                  DEBITO FUNDO                                    1.871.992,86D"
February,"                  CREDITO FUNDO                                   4.908.459,16C"
February,
February,TOTAL DISTRIBUIDO NO PERIODO
February,
February,"                  DEBITO BENEF.                                   1.871.992,86D"
February,"                  CREDITO BENEF.                                  4.908.459,16C"
March,PRESIDENTE DUTRA                                  -MA
March,
March,FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS
March,DATA                PARCELA                                   VALOR DISTRIBUIDO
March,
March,"10.03.2023        PARCELA DE IPI                                    168.709,26C"
March,"                  PARCELA DE IR                                   1.370.601,42C"
March,"                  RETENCAO PASEP                                     15.393,10D"
March,"                  RFB-PREV-PARC60                                   105.019,14D"
